Trying to find 7350 nuggets. At ~14.3s per nugget, this will take order 29.2 hours.
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 2/50 T_c = 1.33e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 3/50 T_c = 1.76e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 4/50 T_c = 2.33e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 5/50 T_c = 3.09e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 6/50 T_c = 4.09e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 7/50 T_c = 5.43e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 8/50 T_c = 7.20e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 9/50 T_c = 9.54e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 10/50 T_c = 1.26e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 11/50 T_c = 1.68e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 12/50 T_c = 2.22e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 13/50 T_c = 2.95e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 14/50 T_c = 3.91e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 15/50 T_c = 5.18e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 16/50 T_c = 6.87e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 17/50 T_c = 9.10e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 18/50 T_c = 1.21e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 19/50 T_c = 1.60e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 20/50 T_c = 2.12e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 21/50 T_c = 2.81e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 22/50 T_c = 3.73e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 23/50 T_c = 4.94e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 24/50 T_c = 6.55e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 25/50 T_c = 8.69e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 26/50 T_c = 1.15e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 27/50 T_c = 1.53e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 28/50 T_c = 2.02e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 29/50 T_c = 2.68e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 30/50 T_c = 3.56e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 31/50 T_c = 4.71e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 32/50 T_c = 6.25e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 33/50 T_c = 8.29e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 34/50 T_c = 1.10e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 35/50 T_c = 1.46e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 36/50 T_c = 1.93e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 37/50 T_c = 2.56e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 38/50 T_c = 3.39e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 39/50 T_c = 4.50e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 40/50 T_c = 5.96e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 41/50 T_c = 7.91e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 42/50 T_c = 1.05e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 43/50 T_c = 1.39e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 44/50 T_c = 1.84e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 45/50 T_c = 2.44e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 46/50 T_c = 3.24e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 47/50 T_c = 4.29e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 48/50 T_c = 5.69e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 49/50 T_c = 7.54e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 2/21 xi = 3.2e-26; 50/50 T_c = 1.00e+08
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 1/50 T_c = 1.00e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 2/50 T_c = 1.33e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 3/50 T_c = 1.76e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 4/50 T_c = 2.33e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 5/50 T_c = 3.09e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 6/50 T_c = 4.09e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 7/50 T_c = 5.43e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 8/50 T_c = 7.20e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 9/50 T_c = 9.54e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 10/50 T_c = 1.26e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 11/50 T_c = 1.68e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 12/50 T_c = 2.22e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 13/50 T_c = 2.95e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 14/50 T_c = 3.91e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 15/50 T_c = 5.18e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 16/50 T_c = 6.87e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 17/50 T_c = 9.10e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 18/50 T_c = 1.21e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 19/50 T_c = 1.60e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 20/50 T_c = 2.12e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 21/50 T_c = 2.81e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 22/50 T_c = 3.73e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 23/50 T_c = 4.94e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 24/50 T_c = 6.55e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 25/50 T_c = 8.69e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 26/50 T_c = 1.15e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 27/50 T_c = 1.53e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 28/50 T_c = 2.02e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 29/50 T_c = 2.68e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 30/50 T_c = 3.56e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 31/50 T_c = 4.71e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 32/50 T_c = 6.25e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 33/50 T_c = 8.29e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 34/50 T_c = 1.10e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 35/50 T_c = 1.46e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 36/50 T_c = 1.93e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 37/50 T_c = 2.56e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 38/50 T_c = 3.39e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 39/50 T_c = 4.50e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 40/50 T_c = 5.96e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 41/50 T_c = 7.91e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 42/50 T_c = 1.05e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 43/50 T_c = 1.39e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 44/50 T_c = 1.84e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 45/50 T_c = 2.44e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 46/50 T_c = 3.24e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 47/50 T_c = 4.29e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 48/50 T_c = 5.69e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 49/50 T_c = 7.54e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 3/21 xi = 1.0e-25; 50/50 T_c = 1.00e+08
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 1/50 T_c = 1.00e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 2/50 T_c = 1.33e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 3/50 T_c = 1.76e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 4/50 T_c = 2.33e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 5/50 T_c = 3.09e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 6/50 T_c = 4.09e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 7/50 T_c = 5.43e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 8/50 T_c = 7.20e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 9/50 T_c = 9.54e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 10/50 T_c = 1.26e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 11/50 T_c = 1.68e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 12/50 T_c = 2.22e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 13/50 T_c = 2.95e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 14/50 T_c = 3.91e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 15/50 T_c = 5.18e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 16/50 T_c = 6.87e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 17/50 T_c = 9.10e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 18/50 T_c = 1.21e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 19/50 T_c = 1.60e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 20/50 T_c = 2.12e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 21/50 T_c = 2.81e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 22/50 T_c = 3.73e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 23/50 T_c = 4.94e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 24/50 T_c = 6.55e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 25/50 T_c = 8.69e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 26/50 T_c = 1.15e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 27/50 T_c = 1.53e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 28/50 T_c = 2.02e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 29/50 T_c = 2.68e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 30/50 T_c = 3.56e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 31/50 T_c = 4.71e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 32/50 T_c = 6.25e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 33/50 T_c = 8.29e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 34/50 T_c = 1.10e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 35/50 T_c = 1.46e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 36/50 T_c = 1.93e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 37/50 T_c = 2.56e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 38/50 T_c = 3.39e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 39/50 T_c = 4.50e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 40/50 T_c = 5.96e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 41/50 T_c = 7.91e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 42/50 T_c = 1.05e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 43/50 T_c = 1.39e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 44/50 T_c = 1.84e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 45/50 T_c = 2.44e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 46/50 T_c = 3.24e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 47/50 T_c = 4.29e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 48/50 T_c = 5.69e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 49/50 T_c = 7.54e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 4/21 xi = 3.2e-25; 50/50 T_c = 1.00e+08
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 1/50 T_c = 1.00e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 2/50 T_c = 1.33e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 3/50 T_c = 1.76e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 4/50 T_c = 2.33e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 5/50 T_c = 3.09e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 6/50 T_c = 4.09e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 7/50 T_c = 5.43e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 8/50 T_c = 7.20e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 9/50 T_c = 9.54e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 10/50 T_c = 1.26e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 11/50 T_c = 1.68e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 12/50 T_c = 2.22e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 13/50 T_c = 2.95e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 14/50 T_c = 3.91e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 15/50 T_c = 5.18e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 16/50 T_c = 6.87e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 17/50 T_c = 9.10e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 18/50 T_c = 1.21e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 19/50 T_c = 1.60e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 20/50 T_c = 2.12e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 21/50 T_c = 2.81e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 22/50 T_c = 3.73e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 23/50 T_c = 4.94e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 24/50 T_c = 6.55e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 25/50 T_c = 8.69e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 26/50 T_c = 1.15e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 27/50 T_c = 1.53e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 28/50 T_c = 2.02e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 29/50 T_c = 2.68e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 30/50 T_c = 3.56e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 31/50 T_c = 4.71e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 32/50 T_c = 6.25e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 33/50 T_c = 8.29e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 34/50 T_c = 1.10e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 35/50 T_c = 1.46e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 36/50 T_c = 1.93e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 37/50 T_c = 2.56e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 38/50 T_c = 3.39e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 39/50 T_c = 4.50e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 40/50 T_c = 5.96e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 41/50 T_c = 7.91e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 42/50 T_c = 1.05e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 43/50 T_c = 1.39e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 44/50 T_c = 1.84e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 45/50 T_c = 2.44e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 46/50 T_c = 3.24e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 47/50 T_c = 4.29e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 48/50 T_c = 5.69e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 49/50 T_c = 7.54e+07
4/7 rho_c_MS = 1.0 rho_c_sun; 5/21 xi = 1.0e-24; 50/50 T_c = 1.00e+08
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 1/50 T_c = 1.00e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 2/50 T_c = 1.33e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 3/50 T_c = 1.76e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 4/50 T_c = 2.33e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 5/50 T_c = 3.09e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 6/50 T_c = 4.09e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 7/50 T_c = 5.43e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 8/50 T_c = 7.20e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 9/50 T_c = 9.54e+02
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 10/50 T_c = 1.26e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 11/50 T_c = 1.68e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 12/50 T_c = 2.22e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 13/50 T_c = 2.95e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 14/50 T_c = 3.91e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 15/50 T_c = 5.18e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 16/50 T_c = 6.87e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 17/50 T_c = 9.10e+03
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 18/50 T_c = 1.21e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 19/50 T_c = 1.60e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 20/50 T_c = 2.12e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 21/50 T_c = 2.81e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 22/50 T_c = 3.73e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 23/50 T_c = 4.94e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 24/50 T_c = 6.55e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 25/50 T_c = 8.69e+04
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 26/50 T_c = 1.15e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 27/50 T_c = 1.53e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 28/50 T_c = 2.02e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 29/50 T_c = 2.68e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 30/50 T_c = 3.56e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 31/50 T_c = 4.71e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 32/50 T_c = 6.25e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 33/50 T_c = 8.29e+05
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 34/50 T_c = 1.10e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 35/50 T_c = 1.46e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 36/50 T_c = 1.93e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 37/50 T_c = 2.56e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 38/50 T_c = 3.39e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 39/50 T_c = 4.50e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 40/50 T_c = 5.96e+06
4/7 rho_c_MS = 1.0 rho_c_sun; 6/21 xi = 3.2e-24; 41/50 T_c = 7.91e+06
